bnumber	description	gene name	GLC_BATCH_mu=0.58_S	LB_BATCH_mu=1.9_S	GLYC+AA_BATCH_mu=1.27_S	ACE_BATCH_mu=0.3_S	FUM_BATCH_mu=0.42_S	GAM_BATCH_mu=0.46_S	GLYC_BATCH_mu=0.47_S	PYR_BATCH_mu=0.40_S	GLC_CHEM_mu=0.50_S	GLC_CHEM_mu=0.35_S	GLC_CHEM_mu=0.20_S	GLC_CHEM_mu=0.12_S	Stationary phase 1 day	Stationary phase 3 days	GLC+SALTS_BATCH_mu=0.55_S	GLC@42deg_BATCH_mu=0.66_S	GLC@pH6_BATCH_mu=0.63_S	XYL_BATCH_mu=0.55_S	MAN_BATCH_mu=0.47_S	GAL_BATCH_mu=0.26_S	SUCC_BATCH_mu=0.44_S	FRU_BATCH_mu=0.65_S
b1477	Uncharacterized HTH-type transcriptional regulator YddM OS=Escherichia coli (strain K12) GN=yddM PE=3 SV=1	yddM	0.0012	0.00218	0.00156	0.000795	0.00137	0.000792	0.00101	0.00129	0.000866	0.000806	0.000418	0.000515	0.00000488	0.0000198	0.000327	0.0000651	0.0000112	0.000532	0.000317	0.0000481	0.000159	0.000129
b1478	Alcohol dehydrogenase, propanol-preferring OS=Escherichia coli (strain K12) GN=adhP PE=1 SV=1	adhP	0.00154	0.00283	0.00189	0.00409	0.00153	0.00131	0.00153	0.00171	0.00164	0.00154	0.00205	0.00148	0.000211	0.00032	0.00139	0.000574	0.00127	0.000744	0.00116	0.000422	0.00053	0.000802
b1479	NAD-dependent malic enzyme OS=Escherichia coli (strain K12) GN=maeA PE=1 SV=4	maeA	0.0554	0.141	0.0937	0.0641	0.0612	0.0487	0.0504	0.0503	0.0559	0.0387	0.0304	0.025	0.0135	0.0174	0.0311	0.0377	0.0299	0.0467	0.0463	0.0298	0.0544	0.0536
b1480	Stationary-phase-induced ribosome-associated protein OS=Escherichia coli (strain K12) GN=sra PE=1 SV=1	sra	0.0291	0.0118	0.0155	0.0363	0.0412	0.0435	0.0461	0.0304	0.0363	0.0348	0.0331	0.0291	0.033	0.0136	0.0984	0.0494	0.097	0.0366	0.0469	0.0375	0.0329	0.029
b1482	Peroxiredoxin osmC OS=Escherichia coli (strain K12) GN=osmC PE=1 SV=2	osmC	0.19	0.0822	0.0869	0.286	0.23	0.298	0.204	0.151	0.174	0.216	0.334	0.402	0.868	0.845	0.62	0.244	0.443	0.173	0.228	0.603	0.201	0.139
b1487	Probable D,D-dipeptide-binding periplasmic protein ddpA OS=Escherichia coli (strain K12) GN=ddpA PE=2 SV=1	ddpA	0.00151	0.00168	0.0029	0.00413	0.00842	0.0037	0.00357	0.00423	0.00311	0.0064	0.00672	0.00767	0.00641	0.00602	0.00166	0.00118	0.00107	0.00166	0.00988	0.0127	0.00942	0.0017
b1490	Diguanylate cyclase DosC OS=Escherichia coli (strain K12) GN=dosC PE=1 SV=1	dosC	0.000653	0.00112	0.000631	0.0015	0.00155	0.0018	0.000915	0.00102	0.00176	0.00307	0.00312	0.0043	0.00283	0.00221	0.00043	0.000208	0.00297	0.000775	0.00119	0.00206	0.00177	0.00105
b1492	Probable glutamate/gamma-aminobutyrate antiporter OS=Escherichia coli (strain K12) GN=gadC PE=1 SV=1	gadC	0.00565	0.008	0.00535	0.0128	0.00446	0.0099	0.0029	0.00289	0.00593	0.00633	0.00579	0.00674	0.142	0.145	0.00583	0.00292	0.117	0.00144	0.000703	0.00164	0.00131	0.000995
b1493	Glutamate decarboxylase beta OS=Escherichia coli (strain K12) GN=gadB PE=1 SV=1	gadB	0.000572	0.00109	0.000798	0.00209	0.000641	0.00122	0.000299	0.000185	0.000629	0.000734	0.000666	0.000914	0.000509	0.000797	0.000571	0.000701	0.00949	0.000543	0.000291	0.000556	0.00035	0.000198
b1494	Probable zinc protease pqqL OS=Escherichia coli (strain K12) GN=pqqL PE=3 SV=2	pqqL	0.00142	0.00142	0.00157	0.000271	0.00102	0.00105	0.000879	0.000885	0.00129	0.000954	0.000576	0.0003	0.000455	0.000413	0.00146	0.000765	0.000763	0.00111	0.000908	0.000487	0.000936	0.000819
b1495	Uncharacterized protein yddB OS=Escherichia coli (strain K12) GN=yddB PE=4 SV=2	yddB	0.000212	0.0000405		0.000166	0.000752	0.000816	0.000209	0.000183	0.000776	0.00187	0.0000561	0.0000675	0.0000974	0.0000801	0.000294	0.00014	0.0000872			0.000253	0.000926	
b1498	Uncharacterized sulfatase ydeN OS=Escherichia coli (strain K12) GN=ydeN PE=3 SV=2	ydeN	0.00142	0.0153	0.0057	0.0141	0.0122	0.0549	0.00406	0.0088	0.00952	0.0139	0.0126	0.00747	0.00114	0.00111	0.00391	0.00192	0.00298	0.00275	0.0204	0.0277	0.00981	0.00187
b1501	Protein ydeP OS=Escherichia coli (strain K12) GN=ydeP PE=1 SV=1	ydeP	0.000895	0.000309		0.000347	0	0.0013	0.000237	0.00103	0.00109	0.00257	0.0000868	0.000431	0.0000144	0.0000922	0.0000196	0.000268	0.0000505			0.000346	0.000667	
b1502	Uncharacterized fimbrial-like protein ydeQ OS=Escherichia coli (strain K12) GN=ydeQ PE=3 SV=1	ydeQ	0.000212	0.0000853		0.00000717	0	0.00017	0.000323	3.76E-011	0.00000138	0	0	0.00024	0.000703	0.000363	0.0000881	0.0000703	0.0000202			0	0.000056	
b1511	Autoinducer 2 kinase LsrK OS=Escherichia coli (strain K12) GN=lsrK PE=1 SV=1	lsrK	0.000537	0.00213	0.0013	0.00132	0.00216	0.000519	0.000889	0.000657	0.00117	0.000986	0.00206	0.0055	0.00266	0.00157	0.000566	0.000126	0.000383	0.000428	0.000205	0.00129	0.00073	0.000217
b1512	Transcriptional regulator lsrR OS=Escherichia coli (strain K12) GN=lsrR PE=1 SV=1	lsrR	0.00252	0.000868		0.00118	0.00111	0.000723	0.000475	0.000864	0.000706	0.0023	0.000249	0.000572	0.000132	0.000176	0.000334	0.000582	0.000261			0.000467	0.00074	
b1513	Autoinducer 2 import ATP-binding protein LsrA OS=Escherichia coli (strain K12) GN=lsrA PE=1 SV=1	lsrA	0.000000557	0.0000841	0.00000926	0.0000112	0.000141	0.000000511	0.000000517	0.00000048	0.000000521	0.0000708	0.000123	0.00203	0.00019	0.000129	0.000000556	0.000000591	0.000000574	0.000000554	0.0000494	0.000119	0.000000511	0.000000962
b1516	Autoinducer 2-binding protein lsrB OS=Escherichia coli (strain K12) GN=lsrB PE=1 SV=1	lsrB	0.00519	0.00733	0.00878	0.00992	0.0215	0.00673	0.00395	0.00608	0.004	0.00675	0.0132	0.0252	0.0328	0.0275	0.00621	0.0118	0.0101	0.00619	0.00574	0.0177	0.0163	0.00552
b1517	Uncharacterized aldolase lsrF OS=Escherichia coli (strain K12) GN=lsrF PE=1 SV=1	lsrF	0.00464	0.00619	0.00648	0.0141	0.0178	0.00684	0.00355	0.00558	0.00548	0.00961	0.0189	0.0353	0.0169	0.0203	0.00739	0.00516	0.00478	0.00635	0.00475	0.0132	0.0134	0.00933
b1518	Autoinducer 2-degrading protein lsrG OS=Escherichia coli (strain K12) GN=lsrG PE=1 SV=1	lsrG	0.0000725	0.0000486	0.0000253	0.000156	0.000528	0.0000279	0.0000631	0.0000427	0.0000556	0.000047	0.000228	0.000401	0.0000297	0.000111	0.0000416	0.000116	0.000344	0.000153	0.0000344	0.000248	0.000129	0.000178
b1519	Trans-aconitate 2-methyltransferase OS=Escherichia coli (strain K12) GN=tam PE=1 SV=3	tam	0.00464	0.0117	0.00664	0.00883	0.0102	0.00627	0.00824	0.0052	0.00769	0.0156	0.0173	0.0169	0.0157	0.0132	0.0086	0.0081	0.00988	0.00477	0.00547	0.0145	0.00628	0.00336
b1521	Altronate oxidoreductase OS=Escherichia coli (strain K12) GN=uxaB PE=1 SV=1	uxaB	0.000212	0.00282	0.00107	0.000224	0.000565	0.00039	0.000391	0.001	0.000337	0.00045	0.000538	0.000354	0.0000269	0.00000125	0.000000494	0.00000054	0.000000526	0.0000298	0.000277	0.000144	0.000146	0.0000637
b1524	Glutaminase 2 OS=Escherichia coli (strain K12) GN=glsA2 PE=3 SV=1	glsA	0.000255	0.000499		0.0000371	0.000223	0.0000563	0.0000186	0	0.0000703	0.0000221	0	0.000000663	0.000939	0.0000172	0	0.00021	0.00000121			0	0.000016	
b1525	Aldehyde dehydrogenase-like protein yneI OS=Escherichia coli (strain K12) GN=yneI PE=1 SV=2	sad	0.00141	0.00128	0.000608	0.000414	0.00108	0.00175	0.0021	0.000903	0.00127	0.000673	0.00105	0.000296	0.000174	0.000386	0.00137	0.00192	0.00501	0.00282	0.00209	0.00192	0.00321	0.00222
b1535	Diguanylate cyclase YdeH OS=Escherichia coli (strain K12) GN=ydeH PE=1 SV=2	ydeH	0.0000556	0.0000343	0.0000944	0.0000558	0.0000233	0.0000217	0.0000336	0.0000319	0.0000353	0.0000417	0.0000163	0.00000141	0.000108	0.0000391	0.000142	0.000133	0.000341	0.0000596	0.0000578	0.000161	0.000142	0.000215
b1536	Uncharacterized protein ydeI OS=Escherichia coli (strain K12) GN=ydeI PE=4 SV=1	ydeI	0.00257	0.00321	0.00175	0.00227	0.0019	0.00366	0.00177	0.00132	0.00181	0.00229	0.00354	0.00514	0.0108	0.00993	0.00544	0.00148	0.00571	0.000984	0.00149	0.0038	0.000666	0.000946
b1537	Protein YdeJ OS=Escherichia coli (strain K12) GN=ydeJ PE=3 SV=1	ydeJ	0.000366	0.000262	0.000398	0.000993	0.000556	0.000792	0.000285	0.000285	0.000475	0.000806	0.00161	0.00298	0.000888	0.000918	0.00066	0.000375	0.000699	0.000258	0.000287	0.00116	0.000266	0.000255
b1538	Peptidyl-dipeptidase dcp OS=Escherichia coli (strain K12) GN=dcp PE=1 SV=4	dcp	0.076	0.0528	0.0806	0.0684	0.0756	0.0701	0.0685	0.0505	0.0624	0.0547	0.0512	0.0439	0.0378	0.0313	0.0859	0.0837	0.0964	0.0883	0.0664	0.0627	0.0528	0.0643
b1539	NADP-dependent 3-hydroxy acid dehydrogenase YdfG OS=Escherichia coli (strain K12) GN=ydfG PE=1 SV=2	ydfG	0.0855	0.0948	0.103	0.0871	0.0944	0.111	0.107	0.0919	0.088	0.0752	0.0758	0.0563	0.065	0.0538	0.0859	0.109	0.119	0.0927	0.0912	0.0796	0.114	0.0993
b1540	Uncharacterized HTH-type transcriptional regulator ydfH OS=Escherichia coli (strain K12) GN=ydfH PE=1 SV=1	ydfH	0.00422	0.00678		0.00187	0.00222	0.00227	0.00236	0.00193	0.00369	0.0019	0.00219	0.0025	0.00138	0.000263	0.00387	0.00331	0.00481			0.00151	0.00264	
b1541	Putative selenoprotein ydfZ OS=Escherichia coli (strain K12) GN=ydfZ PE=1 SV=1	ydfZ	0.000214	0.000156	0.0000961	0.000186	0.000167	0.000197	0.000141	0.000188	0.000163	0.000261	0.000272	0.000253	0.000116	0.0000889	0.000338	0.000401	0.000629	0.000238	0.000232	0.00039	0.000195	0.0000688
b1550	Protein gnsB OS=Escherichia coli (strain K12) GN=gnsB PE=3 SV=2	gnsB	0.0187	0.0213	0.0221	0.0122	0.0158	0.0185	0.0162	0.0149	0.0175	0.0168	0.0125	0.01	0.0282	0.0142	0.0281	0.0225	0.0263	0.0217	0.0194	0.0149	0.0163	0.0206
b1557	Cold shock-like protein CspB OS=Escherichia coli (strain K12) GN=cspB PE=2 SV=1	cspB	0.0000256	0.0000434		0.000116	0.0000277	0.000487	0.0000203	0.000251	0.000136	0.00144	0.0000165	0.000651	0.000000867	0.0000107	0.0000103	0.0000269	0.0000831			0.000135	0.000281	
b1564	Antitoxin RelB OS=Escherichia coli (strain K12) GN=relB PE=1 SV=1	relB	0.00268	0.00413	0.00327	0.00147	0.00195	0.00192	0.00221	0.00202	0.00128	0.00112	0.00113	0.000835	0.000299	0.000407	0.00222	0.000903	0.000553	0.00143	0.00208	0.00144	0.00165	0.0026
b1566	Protein flxA OS=Escherichia coli (strain K12) GN=flxA PE=4 SV=1	flxA	0.000141	0.00000913		0.0000598	0.000138	0.0001	0.0000366	0.0000147	0.0000824	0.000442	0.000003	0.00000391	0.00000371	0.00000833	1.82E-009	0.0000321	0.0000084			0.0000239	0.0000783	
b1567	Uncharacterized protein ydfW in Qin prophage region OS=Escherichia coli (strain K12) GN=ydfW PE=5 SV=2	ydfW	0.00247	0.0000219	0.0000662	0.00077	0.000334	0.00059	0.000709	0.000805	0.000652	0.00032	0.000177	0.00013	0.000000337	0.000194	0.00077	0.00137	0.00105	0.00121	0.000917	0.000352	0.000276	0.00128
b1570	HTH-type transcriptional regulator dicA OS=Escherichia coli (strain K12) GN=dicA PE=4 SV=1	dicA	0.00051	0.000643	0.000438	0.000541	0.000392	0.00055	0.000324	0.000362	0.000415	0.000393	0.000206	0.000293	0.000444	0.000386	0.000457	0.000221	0.000521	0.000473	0.0000888	0.000348	0.00024	0.0000154
b1580	Starvation-sensing protein RspB OS=Escherichia coli (strain K12) GN=rspB PE=3 SV=1	rspB	0.0000593	0.000142		0.0000278	0.0000537	0.000177	0.000539	0.00092	0.000027	0.00000786	0.000541	0.000249	0.0000152	0.0000465	0.000353	0.0000433	0.000228			0.000127	0.0000539	
b1581	Starvation-sensing protein rspA OS=Escherichia coli (strain K12) GN=rspA PE=1 SV=1	rspA	0.0000724	0.000223	0.000108	0.0000352	0.000036	0.0000424	0.0000764	0.0000186	0.0000257	0.0000495	0.000044	0.0000246	0.0000116	0.0000144	0.0000643	0.00000177	0.0000288	0.0000541	0.000035	0.00108	0.000233	0.000228
b1583	UPF0482 protein ynfB OS=Escherichia coli (strain K12) GN=ynfB PE=1 SV=1	ynfB	0.00982	0.0124	0.0118	0.00761	0.00998	0.011	0.0116	0.0113	0.00804	0.00821	0.00815	0.00865	0.0112	0.00932	0.0169	0.0221	0.0163	0.0122	0.00797	0.0115	0.00953	0.0115
b1584	Spermidine N(1)-acetyltransferase OS=Escherichia coli (strain K12) GN=speG PE=1 SV=2	speG	0.00328	0.00583	0.00473	0.00211	0.00306	0.00252	0.00274	0.00306	0.00377	0.00278	0.00228	0.00207	0.00134	0.00102	0.00172	0.00756	0.00207	0.00322	0.00247	0.00191	0.00224	0.00303
b1586	Uncharacterized protein ynfD OS=Escherichia coli (strain K12) GN=ynfD PE=1 SV=2	ynfD	0.0000222	0.000114	0.0000668	0.0000403	0.0000178	0.0000239	0.0000238	0.0000143	0.0000359	0.0000615	0.0000345	0.0000402	0.0000319	0.0000276	0.0000615	0.0000955	0.0000953	0.0000231	0.0000311	0.0000433	0.0000868	0.000128
b1588	Probable dimethyl sulfoxide reductase chain ynfF OS=Escherichia coli (strain K12) GN=ynfF PE=3 SV=4	ynfF	0.000000613	0.000000951	0.000000831	0.000000493	0.000000544	0.0000168	0.000000556	0.000000529	0.000000583	0.000000504	0.00000762	0.000000403	0.000000342	0.000000339	0.0000224	0.000000643	0.0000443	0.0000141	0.000000569	0.00000483	0.000000548	0.000000642
b1591	Twin-arginine leader-binding protein dmsD OS=Escherichia coli (strain K12) GN=dmsD PE=1 SV=2	dmsD	0.00578	0.00631	0.00503	0.00315	0.00263	0.00351	0.00308	0.00282	0.00215	0.00185	0.00158	0.000673	0.0013	0.00171	0.005	0.0012	0.00116	0.0016	0.00116	0.00062	0.000561	0.00288
b1593	Putative dethiobiotin synthetase OS=Escherichia coli (strain K12) GN=ynfK PE=3 SV=1	bioD	0.000175	0.00045	0.000236	0.0000952	0.000154	0.000315	0.000185	0.00014	0.000218	0.000195	0.000151	0.000192	0.000654	0.00051	0.000136	0.00104	0.000207	0.000165	0.000371	0.000353	0.000424	0.000322
b1594	Protein mlc OS=Escherichia coli (strain K12) GN=mlc PE=1 SV=2	mlc	0.00142	0.00407	0.00234	0.00151	0.00205	0.00369	0.00154	0.00194	0.00467	0.00714	0.00588	0.00503	0.00113	0.00105	0.000462	0.00112	0.00113	0.000517	0.00244	0.00139	0.00177	0.00117
b1595	Uncharacterized HTH-type transcriptional regulator ynfL OS=Escherichia coli (strain K12) GN=ynfL PE=4 SV=1	ynfL	0.000184	0.0022		0.000809	0.000275	0.00278	0.000174	0.00211	0.0000551	0.0045	0.000584	0.00126	0.000215	0.000145	0.000548	0.00012	0.00023			0.000475	0.00213	
b1597	Acid shock protein OS=Escherichia coli (strain K12) GN=asr PE=1 SV=3	asr	0.00000146	0.0000165	0.00000198	0.00000117	0.0000013	0.00000133	0.00000133	0.00000125	0.00000136	0.00000121	0.0000011	0.00000096	0.0000012	0.000000807	0.00000142	0.0000393	0.00664	0.0000014	0.00000136	0.00000113	0.00000132	0.00000151
b1598	Uncharacterized serine protease ydgD OS=Escherichia coli (strain K12) GN=ydgD PE=3 SV=1	ydgD	0.000714	0.00111		0.000254	0.000872	0.000591	0.000512	0.000661	0.000465	0.000495	0.00291	0.000437	0.000944	0.00068	0.000287	0.000279	0.000355			0.000186	0.000922	
b1602	NAD(P) transhydrogenase subunit beta OS=Escherichia coli (strain K12) GN=pntB PE=1 SV=1	pntB	0.241	0.118	0.0832	0.0675	0.109	0.2	0.174	0.141	0.301	0.205	0.178	0.138	0.0941	0.088	0.125	0.297	0.162	0.191	0.171	0.0774	0.114	0.289
b1603	NAD(P) transhydrogenase subunit alpha OS=Escherichia coli (strain K12) GN=pntA PE=1 SV=2	pntA	0.176	0.0811	0.0619	0.0542	0.0795	0.152	0.122	0.128	0.242	0.178	0.134	0.101	0.0696	0.0733	0.109	0.218	0.127	0.154	0.116	0.0716	0.111	0.261
b1604	Protein ydgH OS=Escherichia coli (strain K12) GN=ydgH PE=1 SV=1	ydgH	0.153	0.15	0.148	0.0881	0.124	0.157	0.137	0.135	0.122	0.114	0.101	0.0777	0.0702	0.0373	0.139	0.15	0.167	0.146	0.133	0.107	0.122	0.171
b1606	Dihydrofolate reductase folM OS=Escherichia coli (strain K12) GN=folM PE=1 SV=1	folM	0.0017	0.00172	0.00208	0.00133	0.00153	0.00136	0.00198	0.00147	0.00115	0.00101	0.00116	0.00122	0.0012	0.00115	0.00144	0.00122	0.00162	0.00157	0.00158	0.00217	0.00155	0.00179
b1608	Transcriptional regulatory protein rstA OS=Escherichia coli (strain K12) GN=rstA PE=2 SV=2	rstA	0.0108	0.0123	0.013	0.00776	0.00809	0.00596	0.00977	0.011	0.00525	0.00531	0.00412	0.0047	0.00291	0.0027	0.00661	0.00858	0.0117	0.00932	0.00676	0.00724	0.00831	0.0418
b1609	Sensor protein rstB OS=Escherichia coli (strain K12) GN=rstB PE=1 SV=2	rstB	0.000473	0.000325	0.000683	0.000241	0.000399	0.000587	0.000616	0.000569	0.000294	0.000433	0.000387	0.000406	0.0000617	0.0000251	0.000132	0.00041	0.00019	0.000456	0.000288	0.000259	0.00067	0.000747
b1610	DNA replication terminus site-binding protein OS=Escherichia coli (strain K12) GN=tus PE=1 SV=1	tus	0.00108	0.00189		0.000362	0.000401	0.00103	0.00161	0.000296	0.000442	0.000604	0.000511	0.000555	0.00012	0.000298	0.000406	0.00153	0.00115			0.000313	0.000824	
b1611	Fumarate hydratase class II OS=Escherichia coli (strain K12) GN=fumC PE=1 SV=1	fumC	0.0417	0.0834	0.0786	0.0802	0.0915	0.148	0.0475	0.0513	0.114	0.138	0.142	0.186	0.0234	0.0236	0.0347	0.0272	0.0463	0.0358	0.106	0.17	0.0789	0.0561
b1612	Fumarate hydratase class I, aerobic OS=Escherichia coli (strain K12) GN=fumA PE=1 SV=2	fumA	0.135	0.624	0.516	0.478	0.416	0.281	0.252	0.329	0.471	0.373	0.234	0.154	0.018	0.0178	0.0778	0.0649	0.122	0.215	0.434	0.209	0.442	0.275
b1613	Mannose-6-phosphate isomerase OS=Escherichia coli (strain K12) GN=manA PE=1 SV=1	manA	0.065	0.145	0.149	0.064	0.0643	0.0601	0.0631	0.0604	0.0649	0.0545	0.0466	0.0395	0.0308	0.0382	0.0843	0.0693	0.0619	0.0761	0.0531	0.0332	0.0581	0.0602
b1614	Protein ydgA OS=Escherichia coli (strain K12) GN=ydgA PE=1 SV=1	ydgA	0.11	0.205	0.168	0.102	0.103	0.131	0.109	0.083	0.121	0.112	0.101	0.101	0.0964	0.108	0.115	0.0844	0.147	0.105	0.0908	0.0838	0.093	0.101
b1617	Beta-glucuronidase OS=Escherichia coli (strain K12) GN=uidA PE=1 SV=2	uidA	0.000147	0.000738	0.0000681	0.0000699	0.0000894	0.000102	0.0000633	0.000149	0.0000984	0.000481	0.00079	0.00132	0.000354	0.000504	0.000739	0.000686	0.000255	0.000234	0.000169	0.000134	0.000121	0.000182
b1618	HTH-type transcriptional regulator uidR OS=Escherichia coli (strain K12) GN=uidR PE=4 SV=1	uidR	0.00501	0.00506		0.00267	0.00879	0.00436	0.00191	0.00274	0.00248	0.0193	0.00035	0.0157	0.000961	0.00147	0.00133	0.00332	0.0019			0.00274	0.00352	
b1619	7-alpha-hydroxysteroid dehydrogenase OS=Escherichia coli (strain K12) GN=hdhA PE=1 SV=1	hdhA	0.00875	0.00889	0.00899	0.0161	0.0113	0.0119	0.0104	0.00888	0.00965	0.0113	0.0135	0.0121	0.0139	0.0125	0.0218	0.0318	0.0375	0.0134	0.0132	0.0141	0.0113	0.00937
b1623	Adenosine deaminase OS=Escherichia coli (strain K12) GN=add PE=3 SV=2	add	0.0153	0.0968	0.0484	0.00712	0.0108	0.00855	0.0124	0.00748	0.0155	0.0248	0.0345	0.0309	0.0034	0.00391	0.0159	0.0124	0.0119	0.0218	0.0203	0.0362	0.0146	0.014
b1624	Uncharacterized oxidoreductase ydgJ OS=Escherichia coli (strain K12) GN=ydgJ PE=1 SV=2	ydgJ	0.00334	0.00274	0.00167	0.00514	0.00695	0.00562	0.00598	0.00694	0.00351	0.0035	0.00314	0.00553	0.000798	0.00373	0.00471	0.00225	0.00706	0.00611	0.0057	0.0093	0.00837	0.0077
b1625	OriC-binding nucleoid-associated protein OS=Escherichia coli (strain K12) GN=cnu PE=1 SV=1	cnu	0.000642	0.00272	0.000957	0.000243	0.000441	0.000557	0.000485	0.000469	0.000324	0.000241	0.00021	0.000146	0.000071	0.000157	0.000552	0.000492	0.00159	0.00042	0.00037	0.000183	0.000311	0.000487
b1629	Electron transport complex protein rnfC OS=Escherichia coli (strain K12) GN=rnfC PE=3 SV=1	rsxC	0.00136	0.00267	0.00126	0.000616	0.000916	0.000611	0.00108	0.000657	0.00076	0.000546	0.000262	0.000114	0.000474	0.0000354	0.000622	0.00155	0.000989	0.000978	0.000927	0.000778	0.000818	0.00125
b1631	Electron transport complex protein rnfG OS=Escherichia coli (strain K12) GN=rnfG PE=3 SV=1	rsxG	0.00328	0.00447	0.00269	0.00247	0.00345	0.00347	0.00298	0.00279	0.00323	0.00249	0.00256	0.00142	0.00201	0.0023	0.00308	0.00322	0.00386	0.00263	0.00267	0.0022	0.00251	0.00258
b1633	Endonuclease III OS=Escherichia coli (strain K12) GN=nth PE=1 SV=1	nth	0.000418	0.000866	0.000341	0.000244	0.000315	0.000278	0.000311	0.000271	0.000159	0.00014	0.0000211	0.0000935	0.000000235	0.000000233	0.0000551	0.0000689	0.000179	0.00023	0.000244	0.000184	0.000414	0.000314
b1634	Dipeptide and tripeptide permease A OS=Escherichia coli (strain K12) GN=dtpA PE=1 SV=1	dtpA	0.000000897	0.000236	0.000301	0.000000711	0.000000788	0.000000813	0.000000822	0.000000767	0.000000837	0.000000744	0.000000641	0.000000576	0.000000497	0.000000493	0.000000863	0.00000093	0.000000905	0.000000862	0.000000819	0.000000684	0.00000081	0.000000929
b1635	Glutathione S-transferase OS=Escherichia coli (strain K12) GN=gst PE=1 SV=1	gstA	0.026	0.0156	0.0192	0.0325	0.0296	0.032	0.0298	0.0331	0.0292	0.0313	0.0328	0.0293	0.0218	0.0204	0.0407	0.0255	0.0337	0.0255	0.0298	0.0331	0.0233	0.022
b1636	Pyridoxamine kinase OS=Escherichia coli (strain K12) GN=pdxY PE=1 SV=3	pdxY	0.00442	0.015	0.0144	0.00273	0.00217	0.00485	0.00187	0.00199	0.00226	0.00117	0.000432	0.000312	0.000663	0.000589	0.0121	0.00437	0.0126	0.006	0.00123	0.000582	0.00312	0.00342
b1637	Tyrosyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=tyrS PE=1 SV=2	tyrS	0.18	0.265	0.227	0.0881	0.0994	0.141	0.127	0.105	0.127	0.0939	0.0874	0.072	0.0765	0.0827	0.157	0.266	0.167	0.174	0.118	0.0963	0.115	0.172
b1638	Pyridoxine/pyridoxamine 5'-phosphate oxidase OS=Escherichia coli (strain K12) GN=pdxH PE=1 SV=2	pdxH	0.0128	0.00985	0.0119	0.0101	0.0124	0.0112	0.0128	0.0128	0.0124	0.0104	0.00835	0.00695	0.0076	0.0115	0.0177	0.0188	0.0191	0.0197	0.0126	0.00969	0.0137	0.0147
b1640	Anhydro-N-acetylmuramic acid kinase OS=Escherichia coli (strain K12) GN=anmK PE=1 SV=1	anmK	0.00353	0.00398	0.00262	0.00387	0.00433	0.00512	0.00552	0.00465	0.0045	0.00419	0.00447	0.00448	0.00332	0.00334	0.00581	0.00484	0.00529	0.00513	0.00416	0.00353	0.00416	0.00469
b1641	Outer membrane lipoprotein slyB OS=Escherichia coli (strain K12) GN=slyB PE=2 SV=1	slyB	0.365	0.446	0.457	0.259	0.291	0.297	0.357	0.33	0.238	0.214	0.211	0.226	0.346	0.313	0.395	0.44	0.474	0.283	0.28	0.233	0.264	0.346
b1642	Transcriptional regulator slyA OS=Escherichia coli (strain K12) GN=slyA PE=3 SV=1	slyA	0.0213	0.0212	0.0188	0.0188	0.0206	0.0213	0.0181	0.0213	0.0242	0.0201	0.0167	0.0138	0.0127	0.0174	0.0296	0.0349	0.0253	0.0252	0.0212	0.0137	0.021	0.0173
b1646	Superoxide dismutase [Cu-Zn] OS=Escherichia coli (strain K12) GN=sodC PE=1 SV=1	sodC	0.0101	0.0082	0.00784	0.00786	0.00903	0.0155	0.00872	0.00715	0.00623	0.00594	0.0108	0.0135	0.0477	0.0403	0.0238	0.00767	0.021	0.00707	0.00853	0.0211	0.0057	0.00694
b1647	Oxidoreductase YdhF OS=Escherichia coli (strain K12) GN=ydhF PE=1 SV=2	ydhF	0.0165	0.0267	0.0202	0.0295	0.0194	0.0277	0.0161	0.0152	0.0327	0.0316	0.0362	0.0535	0.0189	0.0101	0.0107	0.0172	0.015	0.0135	0.0174	0.0193	0.0127	0.0179
b1649	HTH-type transcriptional repressor nemR OS=Escherichia coli (strain K12) GN=nemR PE=1 SV=1	nemR	0.000114	0.0008		0.00000642	0.0000332	0.000165	0.000139	0.00000486	0.0000465	0.0000465	0.0000472	0.00000448	0	0.0000224	0.00000891	0.000212	0			0.0000433	0.0000968	
b1650	N-ethylmaleimide reductase OS=Escherichia coli (strain K12) GN=nemA PE=1 SV=1	nemA	0.0065	0.0129	0.00789	0.00358	0.00466	0.00501	0.00573	0.00366	0.00398	0.00261	0.00169	0.00116	0.000598	0.000338	0.00682	0.00172	0.00498	0.00579	0.00251	0.00138	0.00351	0.00395
b1651	Lactoylglutathione lyase OS=Escherichia coli (strain K12) GN=gloA PE=1 SV=1	gloA	0.0486	0.0476	0.0485	0.0298	0.0422	0.0354	0.0602	0.0391	0.0498	0.0363	0.0343	0.0227	0.015	0.0288	0.0467	0.035	0.0622	0.0462	0.0399	0.032	0.0443	0.0586
b1652	Ribonuclease T OS=Escherichia coli (strain K12) GN=rnt PE=1 SV=1	rnt	0.00924	0.0147	0.00642	0.00374	0.00325	0.00389	0.00391	0.00341	0.00331	0.00223	0.00181	0.00132	0.00344	0.0024	0.0072	0.0044	0.00612	0.00599	0.00364	0.00292	0.00363	0.00367
